tmdb_id,imdb_id,titulo_es,titulo_en,titulo_original,titulo_archivo,anio,decada,fecha_estreno,generos,director,guionistas,compositor,elenco,personajes,duracion_min,sinopsis,sinopsis_en,tagline,tagline_en,certificacion,idioma_original,idiomas_hablados,paises,productoras,keywords,coleccion_tmdb,presupuesto_usd,recaudacion_usd,tmdb_rating,tmdb_votos,popularidad,poster_path,backdrop_path,disco,coleccion,tipo,estado,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,n_copias,todas_ubicaciones
1933,tt0230600,Los otros,The Others,The Others,The Others,2001,2000s,2001-08-02,"Terror, Misterio, Suspense",Alejandro Amenábar,Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Alakina Mann, James Bentley, Fionnula Flanagan, Christopher Eccleston, Eric Sykes",,105,"Grace educa sola a sus hijos en un aislado caserón victoriano bajo estrictas normas religiosas. Los tres nuevos sirvientes deben aprender una regla vital, la casa estará siempre en penumbra y nunca se abrirá una puerta si no se ha cerrado la anterior  porque los niños sufren una extraña alergia a la luz del día.","Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","Tarde o temprano ella los verá, entonces todo será diferente.",Sooner or later they’ll find you.,PG-13,en,English,"Spain, United States of America, France","Cruise/Wagner Productions, Sogecine, Las Producciones del Escorpión","nightmare, suicide attempt, christianity, shotgun, servant, cemetery, world war ii, nanny, haunted house, bible, channel islands, mansion, soldier, gardener, photosensitivity, 1940s, spiritism, dreary, jersey island, baffled, supernatural thriller",NA,17000000,210002906,7.618,7122,9.0995,https://image.tmdb.org/t/p/w500/u03kblxsv3zar3Uqt6sRfICU9L6.jpg,https://image.tmdb.org/t/p/w1280/rbBe9WQ1OqCxzgwskOTnaY6JdUA.jpg,horror,Terror,Película,coleccion,2001 - The Others,2001 - The Others.mkv,mkv,4900,/Volumes/horror/horror collection/2001 - The Others/2001 - The Others.mkv,1,horror: 2001 - The Others.mkv (4900 MB)
1946,tt0120907,eXistenZ,eXistenZ,eXistenZ,eXistenZ,1999,1990s,1999-04-14,"Acción, Suspense, Ciencia ficción",David Cronenberg,David Cronenberg,Howard Shore,"Jennifer Jason Leigh, Jude Law, Ian Holm, Willem Dafoe, Don McKellar, Callum Keith Rennie",,97,"Refleja una sociedad en la que los diseñadores de juegos son venerados como ídolos y los jugadores pueden entrar orgánicamente en los juegos. Alegra Geller es la autora eXistenZ, el juego más original, que impide a los usuarios distinguir los límites entre la realidad y la fantasía.",A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,,Play it. Live it. Kill for it.,R,en,English,"Canada, United Kingdom, France","Alliance Atlantis, Serendipity Point Films, Natural Nylon Entertainment","hacker, video game, virtual reality, pop star, bodyguard, dystopia, virtual fight, near future",NA,15000000,2856712,6.786,2157,3.5205,https://image.tmdb.org/t/p/w500/lSSeDs0egzkWMDO47gUywtJiC0d.jpg,https://image.tmdb.org/t/p/w1280/epmwIWdQLouFJ8yx55quVvgnTKu.jpg,library_pt1,Colección,Película,coleccion,NA,1999 - eXistenZ.mp4,mp4,1896.5,/Volumes/library_pt1/1990s/1999 - eXistenZ.mp4,1,library_pt1: 1999 - eXistenZ.mp4 (1896.5 MB)
1955,tt0080678,El hombre elefante,The Elephant Man,The Elephant Man,The Elephant Man,1980,1980s,1980-10-09,"Drama, Historia",David Lynch,"David Lynch, Christopher De Vore, Eric Bergren",John Morris,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller, Freddie Jones",,124,"A finales del siglo XIX, el doctor Frederick Treves descubre en un circo a un hombre llamado John Merrick. Se trata de un ciudadano británico con la cabeza monstruosamente deformada, que vive en una situación de constante humillación y sufrimiento al ser exhibido diariamente como una atracción de feria.","A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",¡Yo no soy un monstruo! ¡No soy un animal! ¡Soy un ser humano! ¡Soy... un hombre!,A true story of courage and human dignity.,PG,en,English,United States of America,Brooksfilms,"friendship, london, england, escape, nurse, exploitation, biography, based on true story, tragedy, hospital, black and white, period drama, social injustice, physical abuse, curiosity, disability, sideshow, dying young, emotional vulnerability, disfigurement, birth defect, deformed, circus freak, discrimination, shame, physical disability, humanity, physical deformity, freak show, freak, abuse, 19th century, dignity, social isolation, human monster, emotion, anxiety, social integration, introspection, psychological healing, 1880s",NA,5000000,26000000,8.048,3899,5.2505,https://image.tmdb.org/t/p/w500/8oif8Zz7Nlf0vMVIiqX1rxDLoXl.jpg,https://image.tmdb.org/t/p/w1280/6huSptAsqYg3wbsi1jbMognSgmp.jpg,horror,Terror,Película,coleccion,NA,1980 - The Elephant Man.mp4,mp4,2410.4,/Volumes/horror/horror collection/1980 - The Elephant Man.mp4,1,horror: 1980 - The Elephant Man.mp4 (2410.4 MB)
1991,tt1028528,Death Proof,Death Proof,Death Proof,Grindhouse Death Proof,2007,2000s,2007-05-22,"Acción, Suspense",Quentin Tarantino,Quentin Tarantino,,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito, Sydney Tamiia Poitier, Tracie Thoms",,114,"""Death Proof"", dirigida por Tarantino, gira en torno a un psicópata de la carretera llamado Especialista Mike, un asesino en serie que va aniquilando a sus víctimas, siempre chicas jóvenes, con su coche de especialista ""a prueba de muerte"".","Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",Va a ser un paseo salvaje,A crash course in revenge.,R,en,English,United States of America,"Dimension Films, Troublemaker Studios","sports car, sadism, psychopath, disc jockey, ladykiller, exploitation, gore, stunt, female friendship, women's prison, stalker, stuntman, grindhouse, beaten to death, slasher, sadist, cynical, killer car, macabre, duringcreditsstinger, angry, aggressive, domineering, frantic, malicious, mischievous, bloody, april march, hilarious, intense, sinister, apathetic, audacious, cruel, enraged, harsh, mean spirited, powerful",NA,25000000,31126421,6.84,5590,5.5706,https://image.tmdb.org/t/p/w500/7AEMH73JTb0qqAZgMj5orBGLUrO.jpg,https://image.tmdb.org/t/p/w1280/qbVCChwbGWDAgsCXKZxyjBrRiWx.jpg,horror,Terror,Película,coleccion,NA,2007 - Grindhouse Death Proof.mkv,mkv,4438.6,/Volumes/horror/horror collection/2007 - Grindhouse Death Proof.mkv,2,horror: 2007 - Grindhouse Death Proof.mkv (4438.6 MB) | library_pt1: 2007 - Death Proof.mp4 (1689.9 MB)
1992,tt1077258,Planet Terror,Planet Terror,Planet Terror,Grindhouse Planet Terror,2007,2000s,2007-04-06,"Terror, Acción, Suspense",Robert Rodriguez,Robert Rodriguez,Robert Rodriguez,"Rose McGowan, Freddy Rodríguez, Marley Shelton, Josh Brolin, Jeff Fahey, Michael Biehn",,105,"Mientras los afectados por un extraño virus se convierten en un ejército de agresores enloquecidos, Cherry, una bailarina de striptease lisiada, y su ex-novio Wray dirigen un espontáneo equipo de guerreros, adentrándose en la noche hacia un destino que dejará millones de afectados, infinidad de muertos y unos cuantos afortunados supervivientes que lucharán por encontrar el último rincón seguro en el mundo.","Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry Darling, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend El Wray lead a team of accidental warriors into the night.",La última esperanza de la humanidad... Reside en una poderosa arma.,Humanity's last hope… rests on a high power machine gun!,R,en,English,United States of America,"Dimension Films, Troublemaker Studios, Rodriguez International Pictures","gas, loss of loved one, military base, grindhouse, zombie",NA,23000000,11446172,6.7,3803,4.3489,https://image.tmdb.org/t/p/w500/a9r5YxDiZDiVg6WpJ4zC0kTw88Z.jpg,https://image.tmdb.org/t/p/w1280/iZBUOcku0xv9MMfiEMXiDqErPXl.jpg,horror,Terror,Película,coleccion,NA,2007 - Grindhouse Planet Terror.mkv,mkv,6450.2,/Volumes/horror/horror collection/2007 - Grindhouse Planet Terror.mkv,1,horror: 2007 - Grindhouse Planet Terror.mkv (6450.2 MB)
2034,tt0139654,Training Day (Día de entrenamiento),Training Day,Training Day,Training Day,2001,2000s,2001-10-05,"Acción, Crimen, Drama",Antoine Fuqua,David Ayer,Mark Mancina,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry",,121,"Todos los días, en las calles de las zonas urbanas deprimidas de los Estados Unidos se libra una guerra; una guerra entre residentes, traficantes de droga y los que han jurado proteger a unos de los otros. Esta guerra tiene sus víctimas y sus verdugos, y una de sus figuras más importantes es el sargento Alonzo Harris, un agente de narcóticos con 13 años de experiencia cuyos discutibles métodos hacen difusa la línea entre la legalidad y la corrupción. Jake Hoyt, un joven policía recién asignado a narcóticos, comienza sus rondas a las órdenes de Alonzo para aprender de él.","On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",Más peligroso que cruzar la línea es el policía que la cruza.,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",R,en,"English, Russian, Spanish, Korean",United States of America,"WV Films II, Village Roadshow Pictures, NPV Entertainment, Warner Bros. Pictures, Outlaw Productions","drug dealer, california, police brutality, poker, bratva (russian mafia), war on drugs, drug trafficking, police corruption, los angeles, california, gang member, rookie cop, narcotics cop, mexican american, cholo, neo-noir, admiring, audacious",Training Day Collection,45000000,104900000,7.518,6542,9.8907,https://image.tmdb.org/t/p/w500/nagh5PjkfBnDf5SKXyHupWu4yod.jpg,https://image.tmdb.org/t/p/w1280/nuO8o9ltxhI7AZQxePavEZ4TyHa.jpg,library_pt1,Colección,Película,coleccion,2001 - Training Day,2001 - Training Day.mkv,mkv,5868.6,/Volumes/library_pt1/2000s/2001 - Training Day/2001 - Training Day.mkv,1,library_pt1: 2001 - Training Day.mkv (5868.6 MB)
2062,tt0382932,Ratatouille,Ratatouille,Ratatouille,Ratatouille,2007,2000s,2007-06-28,"Animación, Comedia, Familia, Fantasía",Brad Bird,Brad Bird,Michael Giacchino,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole",,111,"Remy es una simpática rata que sueña con convertirse en un gran chef francés a pesar de la oposición de su familia y del problema evidente que supone ser una rata en una profesión que detesta a los roedores. El destino lleva entonces a Remy a las alcantarillas de París, pero su situación no podría ser mejor, ya que se encuentra justo debajo de un restaurante que se ha hecho famoso gracias a Auguste Gusteau, una estrella de la cuisine. A pesar del peligro que representa ser un visitante poco común (y desde luego nada deseado) en los fogones de un exquisito restaurante francés, la pasión de Remy por la cocina pone patas arriba el mundo culinario parisino en una trepidante y emocionante aventura.","Remy, a rat, possesses a palate far more refined than that of his fellow comrades. He dreams of becoming a chef, one who creates rather than scavenges. When fate deposits him in the sewers beneath one of Paris’s most famous restaurants, he finds himself ideally placed to fulfill his dream. Forming an unusual alliance with a hapless young kitchen worker, Remy begins a daring culinary double life.  As Remy pursues his vision, he must navigate the suspicions of the calculating Head Chef Skinner, the disapproval of Remy’s own colony, and the foreboding presence of renowned food critic Anton Ego, who strikes fear in the hearts of chefs all throughout France.",Él se muere por ser un chef.,He's dying to become a chef.,G,en,"English, French",United States of America,Pixar,"work, sibling relationship, paris, france, expensive restaurant, river, confidence, cooking, evacuation, mouse, leaving one's family, restaurant, villain, restaurant critic, spice, cookbook, food, chef, sewer, unlikely friendship, french restaurant, rat, french cuisine, fine dining, 3d animation, inspirational, romantic, cheerful",NA,150000000,623726000,7.839,18383,17.9022,https://image.tmdb.org/t/p/w500/nGUelOVetiRpY2wTBMHTbrTIGYC.jpg,https://image.tmdb.org/t/p/w1280/xgDj56UWyeWQcxQ44f5A3RTWuSs.jpg,library_pt1,Colección,Película,coleccion,NA,2007 - Ratatouille (4K).mkv,mkv,9690.4,/Volumes/library_pt1/2000s/2007 - Ratatouille (4K).mkv,1,library_pt1: 2007 - Ratatouille (4K).mkv (9690.4 MB)
2067,tt0183523,Misión a Marte,Mission to Mars,Mission to Mars,Mission To Mars,2000,2000s,2000-03-10,"Ciencia ficción, Aventura, Misterio",Brian De Palma,"Jim Thomas, John Thomas, Graham Yost",Ennio Morricone,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Peter Outerbridge",,114,"En el año 2020 el comandante Luke Graham es seleccionado para dirigir la primera misión tripulada de la NASA a Marte. Una vez en el planeta rojo, descubren una antigua estructura con forma de cúpula que parece ser una especie de baliza. La cúpula mata a la tripulación y deja herido a Luke. El coronel Jim McConnell, recientemente enviudado, encabezará la misión de rescate.","When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Buscando en el planeta equivocado,For centuries we've been looking for the origin of life on earth. We've been looking on the wrong planet.,PG,en,English,United States of America,"Touchstone Pictures, Spyglass Entertainment, The Jacobson Company","spacecraft, planet mars, affectation, space travel, alien, space, astronaut, dismemberment, alien contact, trapped in space, aggressive, philosophical, lyrical, based on theme park ride, inspirational, absurd, admiring, adoring, amused, appreciative, enchant, exuberant, 2020s",NA,90000000,110983407,6.024,1564,3.8849,https://image.tmdb.org/t/p/w500/fQM0eyV5b7jQefpSLvQS6b0e1yc.jpg,https://image.tmdb.org/t/p/w1280/3No5nC3lwppGHxjcEbJGyFtTJvR.jpg,library_pt1,Colección,Película,coleccion,NA,2000 - Mission To Mars.mkv,mkv,6427.9,/Volumes/library_pt1/2000s/2000 - Mission To Mars.mkv,1,library_pt1: 2000 - Mission To Mars.mkv (6427.9 MB)
2108,tt0088847,El club de los cinco,The Breakfast Club,The Breakfast Club,The Breakfast Club,1985,1980s,1985-02-15,"Comedia, Drama",John Hughes,John Hughes,Keith Forsey,"Emilio Estevez, Judd Nelson, Molly Ringwald, Anthony Michael Hall, Ally Sheedy, Paul Gleason",,97,"Cinco estudiantes de distinta educación, formación y gustos son castigados a pasar un sábado en el instituto en el que estudian. Pronto las desavenencias entre ellos aparecen, especialmente cuando el director que les vigila se ausenta del aula... Comedia juvenil de culto de los años ochenta.","Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.","Cinco desconocidos con nada en común, más que ellos mismos.","They only met once, but it changed their lives forever.",R,en,English,United States of America,"Universal Pictures, A&M Films, Channel Productions","high school, coming of age, teen angst, detention, teenage rebellion, stereotype, 1980s, teenager, hilarious, assertive, compassionate",NA,1000000,51530442,7.723,8499,7.3132,https://image.tmdb.org/t/p/w500/f0DhsS50Ksn6rBZhwsH9Rgh9xGi.jpg,https://image.tmdb.org/t/p/w1280/s5HDOmFZaPVQFjk9BxxDrLu1T0g.jpg,library_pt1,Colección,Película,coleccion,NA,1985 - The Breakfast Club.mkv,mkv,6836,/Volumes/library_pt1/1980s/1985 - The Breakfast Club.mkv,1,library_pt1: 1985 - The Breakfast Club.mkv (6836 MB)
2118,tt0119488,L.A. Confidential,L.A. Confidential,L.A. Confidential,L.A. Confidential,1997,1990s,1997-09-19,"Crimen, Misterio, Suspense",Curtis Hanson,"Brian Helgeland, Curtis Hanson",Jerry Goldsmith,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, Danny DeVito",,138,"Los Ángeles, años 50. El departamento de policía vive tiempos agitados en una ciudad revuelta y sacudida continuamente por escándalos que destapa la prensa sensacionalista, y donde todo el mundo busca la fama, drogas, alcohol, sexo o dinero. Dos agentes de caracteres opuestos, en cambio, guian sus acciones por nobles sentimientos: Bud White (Russell Crowe) se mete en todo tipo de líos pero no soporta que maltraten a una mujer. Mientras, Ed Exley (Guy Pearce) es un novato que quiere ""limpiar"" el cuerpo de policía de la corrupción imparable que invade todo el escalafón policial, aunque le cueste el desprecio de sus compañeros. Cada uno tiene sus tareas y sus problemas, hasta que una noche aparecen muertos varios agentes en un local nocturno.",Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,Todo es sospechoso... Todo el mundo se vende... Y nada es lo que parece.,Everything is suspect... Everyone is for sale... And nothing is what it seems.,R,en,English,United States of America,"Regency Enterprises, Wolper Organization","corruption, based on novel or book, call girl, shotgun, detective, femme fatale, domestic violence, whodunit, corpse, district attorney, movie star, good cop bad cop, angry, aggressive, neo-noir, zealous, 1950s, vindictive, admiring, approving, vibrant",NA,35000000,126216940,7.8,5502,9.1233,https://image.tmdb.org/t/p/w500/3xQXLqCXMTizZ7ibSERqaBKvPhY.jpg,https://image.tmdb.org/t/p/w1280/hUn13Hom8OWMYpR1ay0diwswwdP.jpg,library_pt1,Colección,Película,coleccion,NA,1997 - L.A. Confidential.mp4,mp4,2197.8,/Volumes/library_pt1/1990s/1997 - L.A. Confidential.mp4,1,library_pt1: 1997 - L.A. Confidential.mp4 (2197.8 MB)
2119,tt0099371,Days of thunder (Días de trueno),Days of Thunder,Days of Thunder,Days of Thunder,1990,1990s,1990-06-27,"Aventura, Acción, Drama",Tony Scott,Robert Towne,Hans Zimmer,"Tom Cruise, Robert Duvall, Nicole Kidman, Randy Quaid, Cary Elwes, Michael Rooker",,107,"Cole Trickle es un joven temerario que busca en la emoción de pilotar un bólido la audacia que le haga perder todos los miedos. Trickle entra con buen pie en el complicado mundo de las carreras. Se sabe rodear de un buen equipo y cuenta además con la ayuda inestimable de Harry, un verdadero amigo que sabe estimular a la joven promesa hasta hacerle alcanzar la gloria.","Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",Nadie es más veloz que el trueno,You can't outrun the thunder.,PG-13,en,English,United States of America,"Paramount Pictures, Don Simpson/Jerry Bruckheimer Films","underdog, sports, stock car racing, daytona, car crash, rivalry, revenge, racing, crash, race car driver, nascar, racer, stock car, recovery, phoenix, arizona, motorsport, underdog sports movie",NA,60000000,157920733,6.3,1677,5.4244,https://image.tmdb.org/t/p/w500/ePPRlLtTJkLLZLG0ekA6d2O83i5.jpg,https://image.tmdb.org/t/p/w1280/t61Pj0FsdvM5JSEdzTcbpLM4ZaH.jpg,library_pt1,Colección,Película,coleccion,NA,1990 - Days of Thunder.mkv,mkv,6074.8,/Volumes/library_pt1/1990s/1990 - Days of Thunder.mkv,1,library_pt1: 1990 - Days of Thunder.mkv (6074.8 MB)
2123,tt0183505,"Yo, yo mismo e Irene","Me, Myself & Irene","Me, Myself & Irene","Me, Myself and Irene",2000,2000s,2000-06-22,Comedia,"Peter Farrelly, Bobby Farrelly","Mike Cerrone, Peter Farrelly, Bobby Farrelly","Lee Scott, Pete Yorn","Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee, Jerod Mixon, Chris Cooper",,117,"Charlie es un inocente y amable policía de Rhode Island que es todo un caballero, además de un abnegado padre soltero de tres hijos de color que su esposa tuvo tras una aventura. Pero un día Charlie, conocido por su buen carácter, no soporta más que le tomen por blando y sufre de repente un trastorno de personalidad, convirtiéndose en alguien completamente distinto, en el que sale a relucir su hiperagresivo álter ego...","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.","De hombre ideal, a macarra pervertido.",From gentle to mental.,R,en,"English, German",United States of America,"Conundrum Entertainment, 20th Century Fox","schizophrenia, road trip, ex-cop, aftercreditsstinger, duringcreditsstinger, hilarious, ridiculous",NA,51000000,149270999,6.612,4213,6.4458,https://image.tmdb.org/t/p/w500/9Jx2FzdKUYqF3BojG65xjqIG9aj.jpg,https://image.tmdb.org/t/p/w1280/8qLen3NLCVSu1I9aqGWbTUIoBLQ.jpg,library_pt1,Colección,Película,coleccion,NA,"2000 - Me, Myself and Irene.mkv",mkv,3585.9,"/Volumes/library_pt1/2000s/2000 - Me, Myself and Irene.mkv",1,"library_pt1: 2000 - Me, Myself and Irene.mkv (3585.9 MB)"
2134,tt0054387,El tiempo en sus manos,The Time Machine,The Time Machine,Time Machine,1960,1960s,1960-05-25,"Suspense, Aventura, Fantasía, Ciencia ficción, Romance",George Pal,David Duncan,Russell Garcia,"Rod Taylor, Alan Young, Yvette Mimieux, Sebastian Cabot, Tom Helmore, Whit Bissell",,103,"El tiempo en sus manos cuenta como en 1899 un científico finaliza la construcción de un vehículo que le permite viajar a través del tiempo.Poco después, inicia un alucinante viaje a través de los siglos, y es testigo entre otros acontecimientos, de la Segunda Guerra Mundial y de un holocausto atómico en 1966, del que sale ileso.Su último destino es un paradisiaco lugar, localizado en una era muy posterior a la nuestra, concretamente en el año el año 802701, donde vivirá una increíble aventura.",A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.,¡Orbitará en un futuro fantástico!,You Will Orbit into the Fantastic Future!,G,en,English,United States of America,"Galaxy Films Inc., George Pal Productions, Metro-Goldwyn-Mayer","new year's eve, future, london, england, based on novel or book, inventor, dystopia, time travel, time machine, victorian england, distant future, steampunk, new year, underground civilization, morlock, melodramatic, metrocolor",NA,750000,5902,7.351,904,3.7573,https://image.tmdb.org/t/p/w500/rqR0I0EITpG6uY27aQYDxItXH4a.jpg,https://image.tmdb.org/t/p/w1280/bUA6Fu0C2jGqrjn0A9AJwTRpq41.jpg,movies to-watch,Películas,Película,pendiente,NA,1960 - Time Machine.mp4,mp4,1682.4,/Volumes/movies to-watch/movies to-watch/1960 - Time Machine.mp4,1,movies to-watch: 1960 - Time Machine.mp4 (1682.4 MB)
2164,tt0111282,Stargate: Puerta a las estrellas,Stargate,Stargate,Stargate,1994,1990s,1994-10-28,"Acción, Aventura, Ciencia ficción",Roland Emmerich,"Roland Emmerich, Dean Devlin",David Arnold,"James Spader, Kurt Russell, Jaye Davidson, Viveca Lindfors, Alexis Cruz, Mili Avital",,128,"Un coronel y un científico, movidos por distintos intereses, investigan el misterioso hallazgo en unas excavaciones de un extraño artefacto al que llaman ""Puerta de las Estrellas"". Acompañados de un equipo de reconocimiento, atraviesan la Puerta y son transportados a un lejano planeta.","An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Se puede recorrer un millón de años luz desde casa.,It will take you a million light years from home. But will it bring you back?,PG-13,en,"English, Norwegian, Swedish","United States of America, France","Le Studio Canal+, Centropolis Entertainment, Carolco Pictures, Metro-Goldwyn-Mayer","egypt, teleportation, pyramid, space travel, uprising, space, androgyny, space western, timebomb, death of son, nuclear weapons, space opera, hieroglyph, egyptian mythology, egyptology",NA,55000000,196567262,7.015,3767,6.1206,https://image.tmdb.org/t/p/w500/3mKvXGYCjoSv3FJN85iislnlD1d.jpg,https://image.tmdb.org/t/p/w1280/s2bqHApZlliCuwgyHod0qucrYqZ.jpg,library_pt1,Colección,Película,coleccion,1994 - Stargate (Director's Cut),1994 - Stargate (Director's Cut).mkv,mkv,7744.4,/Volumes/library_pt1/1990s/1994 - Stargate (Director's Cut)/1994 - Stargate (Director's Cut).mkv,1,library_pt1: 1994 - Stargate (Director's Cut).mkv (7744.4 MB)
2252,tt0765443,Promesas del este,Eastern Promises,Eastern Promises,Eastern Promises,2007,2000s,2007-09-14,"Suspense, Crimen, Misterio",David Cronenberg,Steven Knight,Howard Shore,"Viggo Mortensen, Naomi Watts, Vincent Cassel, Armin Mueller-Stahl, Sinéad Cusack, Donald Sumpter",,101,"El misterioso y atractivo Nikolai es el chófer de una importante familia mafiosa de Europa Oriental. Semyon, el jefe del clan, detrás de una sonrisa encantadora, esconde una naturaleza fría y cruel. La estabilidad familiar se tambalea por culpa de Kirill, su alocado hijo, que hace más caso a Nikolai que a su propio padre. La vida de Nikolai cambia de golpe cuando conoce a Anna, una comadrona que trabaja en un hospital de Londres. Anna, muy afectada por la muerte en el parto de una adolescente, decide buscar a la familia sirviéndose del diario que la chica dejó escrito en ruso. Lo malo es que sus indagaciones desencadenan la ira de los mafiosos.",A Russian teenager living in London dies during childbirth but leaves clues in her diary that could tie her child to a rape involving a violent Russian mob family.,Los pecados dejan marca.,Every sin leaves a mark.,R,en,"English, Russian, Turkish, Ukrainian, Urdu","Canada, United Kingdom, United States of America","Focus Features, BBC Film, Kudos, Serendipity Point Films, Scion Films, Corus Entertainment, Shine Pictures, Astral Media, Téléfilm Canada","chauffeur, london, england, prostitute, jealousy, rape, tattoo, hitman, parent child relationship, bratva (russian mafia), gangster, human trafficking, diary, midwife, murder, statutory rape, orphan, brutality, motorcycle, disposing of a dead body, bathhouse, empathy, intense",NA,51500000,56106607,7.345,3686,5.4036,https://image.tmdb.org/t/p/w500/7VXya7414oHrpeZKkslNQ7BMcg9.jpg,https://image.tmdb.org/t/p/w1280/1ckHUJ6ztq5XJRKM2nIAW0UjJNH.jpg,library_pt1,Colección,Película,coleccion,NA,2007 - Eastern Promises.mp4,mp4,6100.7,/Volumes/library_pt1/2000s/2007 - Eastern Promises.mp4,1,library_pt1: 2007 - Eastern Promises.mp4 (6100.7 MB)
2277,tt0182789,El hombre bicentenario,Bicentennial Man,Bicentennial Man,Bicentennial Man,1999,1990s,1999-12-17,"Ciencia ficción, Drama",Chris Columbus,Nicholas Kazan,James Horner,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt, Kiersten Warren, Wendy Crewson",,132,"En la primera década del nuevo milenio, con avances tecnológicos que engullen la soberanía de la compasión humana, Richard Martin compra un regalo, un nuevo robot NDR-114. El hijo más pequeño de la familia le pone de nombre Andrew. Andrew es adquirido como electrodoméstico casero programado para realizar tareas menores. A medida que Andrew empieza a experimentar emociones y pensamiento creativo, la familia Martin descubre pronto que no tienen un robot común y corriente.","Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",El viaje de 200 años de un robot para convertirse en un hombre corriente.,One robot's 200 year journey to become an ordinary man.,PG,en,English,"Germany, United States of America","Columbia Pictures, Touchstone Pictures, 1492 Pictures, Laurence Mark Productions, Radiant Productions","android, based on novel or book, freedom, hologram, futuristic, robot, based on short story, journey, 22nd century, 2040s, 23rd century, 2060s",NA,100000000,87423861,7.264,3874,5.7248,https://image.tmdb.org/t/p/w500/pjpKA5SkJcefyBxTAcItsNkwApp.jpg,https://image.tmdb.org/t/p/w1280/aIVL5crQCBMPxKMoExiIsUDFPeR.jpg,library_pt1,Colección,Película,coleccion,NA,1999 - Bicentennial Man.mkv,mkv,2789.9,/Volumes/library_pt1/1990s/1999 - Bicentennial Man.mkv,1,library_pt1: 1999 - Bicentennial Man.mkv (2789.9 MB)
