disco,coleccion,tipo,estado,titulo_archivo,anio_archivo,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,nombre_limpio
horror,Found Footage,Película,coleccion,Creep,2014,,2014 - Creep.mkv,mkv,1397.4,/Volumes/horror/found footage collection/2014 - Creep.mkv,2014 - Creep
horror,Found Footage,Película,coleccion,Into the Storm,2014,,2014 - Into the Storm.mp4,mp4,1265.7,/Volumes/horror/found footage collection/2014 - Into the Storm.mp4,2014 - Into the Storm
horror,Found Footage,Película,coleccion,Paranormal Activity The Marked Ones,2014,,2014 - Paranormal Activity The Marked Ones.mp4,mp4,1615.5,/Volumes/horror/found footage collection/2014 - Paranormal Activity The Marked Ones.mp4,2014 - Paranormal Activity The Marked Ones
horror,Found Footage,Película,coleccion,The Houses October Built,2014,,2014 - The Houses October Built.mkv,mkv,2970.4,/Volumes/horror/found footage collection/2014 - The Houses October Built.mkv,2014 - The Houses October Built
horror,Found Footage,Película,coleccion,The Possession of Michael King,2014,,2014 - The Possession of Michael King.mp4,mp4,1261.2,/Volumes/horror/found footage collection/2014 - The Possession of Michael King.mp4,2014 - The Possession of Michael King
horror,Found Footage,Película,coleccion,The Pyramid,2014,,2014 - The Pyramid 2.mp4,mp4,1274.2,/Volumes/horror/found footage collection/2014 - The Pyramid 2.mp4,2014 - The Pyramid 2
horror,Found Footage,Película,coleccion,The Pyramid,2014,,2014 - The Pyramid.mp4,mp4,1728.8,/Volumes/horror/found footage collection/2014 - The Pyramid.mp4,2014 - The Pyramid
horror,Found Footage,Película,coleccion,The Taking Of Deborah Logan,2014,,2014 - The Taking Of Deborah Logan.mkv,mkv,7507.2,/Volumes/horror/found footage collection/2014 - The Taking Of Deborah Logan.mkv,2014 - The Taking Of Deborah Logan
horror,Found Footage,Película,coleccion,Unfriended,2014,,2014 - Unfriended.mp4,mp4,1317.4,/Volumes/horror/found footage collection/2014 - Unfriended.mp4,2014 - Unfriended
horror,Found Footage,Película,coleccion,VHS Viral,2014,,2014 - VHS Viral.mp4,mp4,1293,/Volumes/horror/found footage collection/2014 - VHS Viral.mp4,2014 - VHS Viral
horror,Found Footage,Película,coleccion,Area,2015,,2015 - Area 51.mp4,mp4,1449.3,/Volumes/horror/found footage collection/2015 - Area 51.mp4,2015 - Area 51
horror,Found Footage,Película,coleccion,Ghoul,2015,,2015 - Ghoul.mkv,mkv,651.8,/Volumes/horror/found footage collection/2015 - Ghoul.mkv,2015 - Ghoul
horror,Found Footage,Película,coleccion,Hell House LLC,2015,,2015 - Hell House LLC.mp4,mp4,1565.9,/Volumes/horror/found footage collection/2015 - Hell House LLC.mp4,2015 - Hell House LLC
horror,Found Footage,Película,coleccion,Jeruzalem,2015,,2015 - Jeruzalem.mkv,mkv,2429.9,/Volumes/horror/found footage collection/2015 - Jeruzalem.mkv,2015 - Jeruzalem
horror,Found Footage,Película,coleccion,Nightlight,2015,,2015 - Nightlight.mp4,mp4,1636.9,/Volumes/horror/found footage collection/2015 - Nightlight.mp4,2015 - Nightlight
horror,Found Footage,Película,coleccion,Paranormal Activity The Ghost Dimension,2015,,2015 - Paranormal Activity The Ghost Dimension.mp4,mp4,1556.2,/Volumes/horror/found footage collection/2015 - Paranormal Activity The Ghost Dimension.mp4,2015 - Paranormal Activity The Ghost Dimension
horror,Found Footage,Película,coleccion,Project Almanac,2015,,2015 - Project Almanac.mp4,mp4,1692.6,/Volumes/horror/found footage collection/2015 - Project Almanac.mp4,2015 - Project Almanac
horror,Found Footage,Película,coleccion,Savageland,2015,,2015 - Savageland.mkv,mkv,1792.1,/Volumes/horror/found footage collection/2015 - Savageland.mkv,2015 - Savageland
horror,Found Footage,Película,coleccion,The Atticus Institute,2015,,2015 - The Atticus Institute.mp4,mp4,1270.1,/Volumes/horror/found footage collection/2015 - The Atticus Institute.mp4,2015 - The Atticus Institute
horror,Found Footage,Película,coleccion,The Cutting Room,2015,,2015 - The Cutting Room.mp4,mp4,1156.9,/Volumes/horror/found footage collection/2015 - The Cutting Room.mp4,2015 - The Cutting Room
